customer_id,full_name,gender,total_spent,total_orders,join_date,phone
CUS001,Nguyễn Văn An,Male,598000,2,2024-06-15,901234567
CUS002,Trần Thị Bình,Female,1995000,4,2024-07-20,912345678
CUS003,Lê Hoàng Cường,Male,2697000,2,2024-08-10,923456789
CUS004,Phạm Thu Dung,Female,2095000,2,2024-09-05,934567890
CUS005,Đỗ Minh Hiếu,Male,599000,1,2024-10-12,945678901
CUS006,Võ Thị Lan,Female,2594000,2,2024-11-01,956789012
CUS007,Hoàng Văn Minh,Male,449000,1,2024-11-15,967890123
CUS008,Bùi Thị Nga,Female,1587000,1,2024-12-03,978901234
CUS009,Đặng Quốc Oai,Male,1299000,1,2024-12-10,989012345
CUS010,Phan Thị Phương,Female,1798000,1,2024-12-18,990123456
CUS011,Trịnh Văn Quân,Male,1498000,2,2025-01-05,901122334
CUS012,Lý Thị Hoa,Female,897000,1,2025-01-08,912233445
CUS013,Ngô Văn Sơn,Male,799000,1,2025-01-12,923344556
CUS014,Vũ Thị Tâm,Female,2598000,1,2025-01-15,934455667
CUS015,Mai Văn Tùng,Male,899000,1,2025-01-18,945566778
CUS016,Đinh Thị Uyên,Female,1198000,1,2025-01-22,956677889
CUS017,Cao Văn Việt,Male,1099000,1,2025-01-25,967788990
CUS018,Lương Thị Xuân,Female,1058000,1,2025-01-28,978899001
CUS019,Dương Văn Yên,Male,1299000,1,2025-02-01,989900112
CUS020,Tô Thị Ánh,Female,1798000,1,2025-02-03,990011223
CUS021,Huỳnh Văn Bảo,Male,598000,1,2025-02-06,901223344
CUS022,Chu Thị Chi,Female,449000,1,2025-02-09,912334455
CUS023,Kiều Văn Đức,Male,3596000,1,2025-02-12,923445566
